secuencia_rival_id,tipologia,cluster_trayectoria,period,match_time,point_order,ball_x_m,ball_y_m,tipo_finalizacion_tiro
9,T2,2.0,0,805770,9,43.4112,52.0128,0
9,T2,2.0,0,806250,10,47.276741405824545,51.941556779525406,0
9,T2,2.0,0,806770,11,51.511510512945215,51.65330452634323,0
9,T2,2.0,0,807250,12,55.2864786,51.5463488,0
9,T2,2.0,0,807770,13,58.270953698739405,57.006102154476466,0
9,T2,2.0,0,808250,14,59.8196147991622,58.41007981126657,0
9,T2,2.0,0,809010,15,63.998923860000005,60.66985657600001,0
9,T2,2.0,0,809530,16,67.78160916,59.837949056,0
9,T2,2.0,0,810010,17,70.7676,58.7328,0
9,T2,2.0,0,810530,18,75.36885441486865,58.325762256636835,0
9,T2,2.0,0,811010,19,77.81039657031508,57.257975840193,0
9,T2,2.0,0,811530,20,80.98367580532197,53.55164976402947,0
9,T2,2.0,0,812250,21,83.45832535199999,46.687236991999995,0
9,T2,2.0,0,812770,22,86.21671176,45.68516288,0
9,T2,2.0,0,813250,23,89.15608656,45.39334528,0
10,T0,0.0,0,866530,0,62.91318327276336,5.5590604364009515,0
10,T0,0.0,0,866770,1,63.7090104191336,6.604674856658351,0
10,T0,0.0,0,867010,2,65.94056220000002,9.1648512,0
10,T0,0.0,0,867250,3,62.83702668374268,6.153280079694447,0
10,T0,0.0,0,867530,4,61.33395442195549,5.116447391937157,0
10,T0,0.0,0,867770,5,59.83205672232143,4.054479248509323,0
10,T0,0.0,0,868010,6,56.992683950795154,1.850925926096562,0
10,T0,0.0,0,868250,7,56.43921018,1.6716684800000001,0
10,T0,0.0,0,868530,8,58.247427246857704,3.379667854791676,0
10,T0,0.0,0,868770,9,59.678596617030486,4.726265618062506,0
10,T0,0.0,0,869010,10,61.08232316999907,6.087746314642173,0
10,T0,0.0,0,869250,11,62.39251037899926,7.461000789761314,0
10,T0,0.0,0,869530,12,66.90180000000001,10.9568,0
10,T0,0.0,0,869770,13,68.8296,12.6592,0
10,T0,0.0,0,870010,14,70.74719999999999,14.3616,0
10,T0,0.0,0,870250,15,68.2584,15.52,0
10,T0,0.0,0,870530,16,64.31099999999999,16.7424,0
11,T0,0.0,0,987250,0,62.83893702,55.0246368,0
11,T0,0.0,0,988010,1,62.7991458,53.445792000000004,0
11,T0,0.0,0,988530,2,62.85008032394247,52.4159505092956,0
11,T0,0.0,0,989250,3,61.533897,49.9427072,0
11,T0,0.0,0,990010,4,61.4833101,43.74305536,0
11,T0,0.0,0,990770,5,63.0054,32.3008,0
11,T0,0.0,0,991250,6,63.81120000000001,25.6704,0
11,T0,0.0,0,992010,7,65.0964,15.168,0
11,T0,0.0,0,992770,8,66.1368,12.9344,0
11,T0,0.0,0,993530,9,66.71953342299862,12.430208503927044,0
11,T0,0.0,0,994010,10,67.31783253895122,12.816486362655455,0
11,T0,0.0,0,994770,11,74.2747817826298,8.864667339395119,0
11,T0,0.0,0,995530,12,81.340165193691,5.008652232717628,0
11,T0,0.0,0,996250,13,81.14731665599999,6.309402111999994,0
11,T0,0.0,0,996770,14,79.8413056813837,10.632463808871378,0
11,T0,0.0,0,997530,15,77.50329443999999,17.964943360000003,0
11,T0,0.0,0,998250,16,79.89733032000001,15.144535040000001,0
11,T0,0.0,0,999010,17,80.9064,15.392,0
11,T0,0.0,0,999530,18,81.2838,16.0192,0
